,nose_x,nose_y,nose_z,r_ear_x,r_ear_y,r_ear_z,theta_l,theta_r,l_ear_x,l_ear_y,l_ear_z,pitched_down
0,319.36211886350503,192.95475715108708,206.4494946591315,365.57904322556243,147.86631945645422,261.3989981745062,4.331680018680995,1.9305742183820278,317.69731609897957,149.66282399900797,261.47637214364767,0.0
1,318.69582119977713,194.13652268639163,206.24428529332073,365.3865483563267,149.73852245933412,261.31473087848536,4.3273870753086205,1.903507021354296,317.08999155194726,150.6936928943028,261.34938425515725,0.0
2,317.9940626897198,195.42944201409696,206.020876893818,365.03331881809885,150.81261922282476,261.10322097416537,4.330947317440861,1.8738305097112526,316.2859183631034,151.59829475799017,261.0966942781057,0.0
3,317.289325493815,196.70358010124386,205.756315050906,364.6305426275572,152.03048716415225,260.8400932363219,4.338711679296495,1.8471751505123044,315.45141422028706,153.49378854287642,260.69141622492094,0.0
4,316.5801766098435,198.07501987412502,205.40412185826415,364.2461061971046,153.332965417617,260.5982048405748,4.348914381322363,1.8204532796089674,314.72142347425506,155.09320140679114,260.3209852717904,0.0
5,315.91347376983924,199.44161343609645,204.9936668836233,363.85827816113925,154.53231542526697,260.3115450809934,4.359502583591744,1.7940672846954209,313.9709778545286,155.64006154976636,259.8220114136618,0.0
6,315.17303848249395,200.8154350280128,204.39203902487023,363.3466261704925,155.73394697978236,259.88212636566146,4.367747404190929,1.7668480608245989,313.32087316615304,155.66749128742373,259.1470608990898,0.0
7,314.3898917144675,202.16509450079246,203.7154477134433,362.80366959877927,157.00735395146108,259.3509639665899,4.371361717141591,1.7435186665584037,312.6586615749073,155.62011757853782,258.43065023224636,0.0
8,313.6323821261484,203.4577901737264,202.9229891059044,362.20792784977465,158.47069238063938,258.71309299536887,4.37323053352288,1.7240902095617283,311.8989798088686,153.96127467318456,257.639803995555,0.0
9,312.8569032700829,204.83335646252146,202.04600815061326,361.554226635374,159.87120398660764,258.02962732758533,4.3724139525262276,1.7083234340752163,311.1332106714614,152.78697973899563,256.78597258055,0.0
10,312.0500621995206,206.17206040180318,200.7699359431179,360.89131771110215,161.2667377248498,257.3059357661393,4.369488932611244,1.695519231110911,310.4309866314233,151.95020196265287,255.9547927688286,0.0
11,311.1751470861228,207.40016510637804,199.47362501998626,360.21656514609015,162.6539168442513,256.559888798262,4.366527486355662,1.6864304744197685,309.7255752036257,151.37831846847922,255.06534423722832,0.0
12,310.3120817715688,208.61803589678604,198.1039061569773,359.46445121555627,164.2654804137337,255.78225540844653,4.366315005956802,1.6784721717013311,308.9807362304658,151.0535731719635,254.22063304673708,0.0
13,309.5336805324769,209.78251936203856,196.73406508006045,358.7010570682384,165.9548731010888,254.94881244068503,4.369073059717303,1.6687963939660553,308.1520161919681,151.01815825257927,253.29617745088476,0.0
14,308.7283474357634,210.92427063370317,195.30939907566452,357.9493854228775,167.79119364957648,254.09000682536418,4.376990868234323,1.6600099028379063,307.3110895258573,151.15849717041053,252.31013107814076,0.0
15,307.9302943623022,212.0097935935139,193.7847936624591,357.169044130855,169.7423358458446,253.2657278662417,4.3901993766006155,1.6521270201862208,306.51110653519686,151.54767976446095,251.35661645040196,0.0
16,307.1516773407326,213.11497805147974,192.22268874038008,356.37334366880737,171.64086754551616,252.41072638732496,4.406977284331518,1.6464746361081315,305.72329818677224,152.1371919676846,250.3909627066306,0.0
17,306.3680105397417,214.17406907189917,190.64910730226612,355.63222620917384,173.53990751512634,251.56514908590384,4.424661786237236,1.6424318822868567,304.93096091400207,153.04551806669676,249.46920947533806,0.0
18,305.58342493847067,215.23148023703897,189.04201981751987,354.8671585946113,175.51566377379206,250.6882182076691,4.442219530620067,1.639442919960721,304.1189631229904,154.177891868352,248.58371847217825,0.0
19,304.84735206414,216.2984709326675,187.48891301895128,354.0035248240764,177.44962551499336,249.8560993282909,4.457091686912809,1.6371549444440308,303.30898320116256,155.36549021574675,247.73064256164068,0.0
20,304.09184180866214,217.35245978521502,185.98027123997403,353.1237146360351,179.36494039598546,249.0665254655907,4.466716596187864,1.636241403841001,302.50667558482274,156.6322734386567,246.95159650962592,0.0
21,303.34206602893215,218.41793146811204,184.53237440343347,352.23870761068304,181.2746712736077,248.3069663974017,4.470044090306287,1.6337415484337507,301.6776274270163,157.9696640719151,246.17509187999713,0.0
22,302.5974147682492,219.50402808477986,183.17954369465002,351.34439184216774,183.17036148569431,247.4909145994132,4.468375899756233,1.630111363063915,300.82412637250184,159.3757169037473,245.3852073119739,0.0
23,301.84572793804534,220.63346718196763,181.83001465392604,350.3878668846749,185.04644648926546,246.7381657695847,4.459988048819211,1.6251613402873293,299.967574242563,160.85071472492788,244.59752698373686,0.0
24,301.0390617499725,221.7551579057468,180.55562757552661,349.391487057107,186.91185787544458,246.02413619681442,4.445638359800722,1.6200157361357435,299.09884873784085,162.41317225549454,243.8314947160549,0.0
25,300.09494642050817,222.9115044164478,179.3912367486417,348.39265035626545,188.75245237108714,245.3890552828467,4.428289787861877,1.615941213576242,298.2376418052871,164.00320804443393,243.11592114429808,0.0
26,299.1192858792293,224.04800706346535,178.31913641322654,347.3665779387131,190.59728386245519,244.79475122097253,4.410350969302384,1.6128164884307263,297.3865622304048,165.58515630038846,242.4305683356813,0.0
27,298.15318096017063,225.16176394053716,177.30874975641504,346.3514173034998,192.4617119914597,244.09809308039755,4.392225649488724,1.611886552359595,296.5713770150989,167.1780890980131,241.78182733975416,0.0
28,297.20143939137705,226.35442802400672,176.35891863492554,345.3767412511103,194.3889703640455,243.38177809799348,4.374953028067875,1.6147614146678015,295.7145101536899,168.80959075561444,241.10413743342522,0.0
29,296.35329438991477,227.50103074659603,175.40287857779404,344.4017712975781,196.24274134288763,242.66233057546984,4.356798370964416,1.6194546143075406,294.8258768906882,170.51348985435686,240.4501354683188,0.0
30,295.47180572298,228.60911673766304,174.3597322485438,343.44593948812644,198.11745866350208,241.9254315254093,4.3381259884809245,1.6252656227294253,293.93143717505933,172.21224515919778,239.77242927350622,0.0
31,294.51958406046776,229.6293879704587,173.25524242377114,342.5059519086498,199.97256040868945,241.18325532005886,4.319615858818465,1.6323296540729912,293.0609363812156,173.93450725102608,239.09561461582507,0.0
32,293.4520083463155,230.64952112153938,172.0745566445006,341.60405647560964,201.79794713877314,240.4258567789747,4.301025454616873,1.6404759423367479,292.2079841016016,175.66074995413126,238.40533645177612,0.0
33,292.4228728941427,231.6710229582391,170.90443550404467,340.6893594629719,203.61115680169388,239.6648233361775,4.282947826298909,1.648531245433537,291.3780566065601,177.3507717207841,237.7363880055688,0.0
34,291.37631268325123,232.64993461481606,169.76928515149893,339.76133695421,205.36644465112053,238.9117890580212,4.268510440241782,1.6567029814248186,290.5322398558836,178.97539936073736,237.1452874874039,0.0
